City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
263,Saint-Georges,GD,2020-12-23 03:08:08,12.06,-61.75,78.8,83,20,6.93
264,Iqaluit,CA,2020-12-23 03:09:15,63.75,-68.51,-5.8,63,20,3.36
265,Salalah,OM,2020-12-23 03:04:17,17.02,54.09,73.4,40,0,17.22
266,Grand-Santi,GF,2020-12-23 03:09:15,4.25,-54.38,73.11,96,100,3.71
267,Tiarei,PF,2020-12-23 03:09:16,-17.53,-149.33,75.2,83,75,11.41
268,Concepcion Del Uruguay,AR,2020-12-23 03:09:16,-32.48,-58.24,71.01,64,0,7.58
269,Praia Da Vitoria,PT,2020-12-23 03:09:16,38.73,-27.07,55.4,66,75,21.07
270,Murwara,IN,2020-12-23 03:09:16,23.85,80.4,59.41,40,90,2.24
271,Vostok,RU,2020-12-23 03:09:17,46.49,135.88,15.01,94,89,2.86
272,Phalodi,IN,2020-12-23 03:09:17,27.13,72.37,58.87,31,0,8.28
273,Denpasar,ID,2020-12-23 03:04:32,-8.65,115.22,86.0,74,40,13.87
274,Formosa Do Rio Preto,BR,2020-12-23 03:09:17,-11.05,-45.19,70.12,90,100,3.04
275,Yamada,JP,2020-12-23 03:09:17,39.47,141.95,44.91,67,23,7.65
276,Faanui,PF,2020-12-23 03:09:18,-16.48,-151.75,81.59,67,85,6.44
277,Rudbar,AF,2020-12-23 03:06:15,30.15,62.6,42.42,62,0,1.1
278,Santa Vitoria Do Palmar,BR,2020-12-23 03:09:18,-33.52,-53.37,58.28,89,0,5.39
279,Walvis Bay,NA,2020-12-23 03:09:18,-22.96,14.51,66.0,88,0,1.12
280,Tarija,BO,2020-12-23 03:09:19,-21.54,-64.73,63.61,65,2,1.52
281,Lima,PE,2020-12-23 03:06:35,-12.04,-77.03,68.0,82,20,16.11
282,Vangaindrano,MG,2020-12-23 03:06:18,-23.35,47.6,74.01,87,0,3.49
283,Huaihua,CN,2020-12-23 03:09:03,27.55,109.96,48.31,60,100,0.63
284,Rio Grande,BR,2020-12-23 03:07:45,-32.03,-52.1,65.61,82,0,10.74
285,Kulhudhuffushi,MV,2020-12-23 03:09:20,6.62,73.07,81.46,81,71,19.13
286,Moranbah,AU,2020-12-23 03:09:20,-22.0,148.05,90.81,45,70,10.49
287,Vestmannaeyjar,IS,2020-12-23 03:09:20,63.44,-20.27,34.09,88,36,14.41
288,Sekoma,BW,2020-12-23 03:09:21,-24.4,23.88,73.44,80,100,3.53
289,Luau,AO,2020-12-23 03:05:13,-10.71,22.22,64.36,99,100,2.46
290,Cabo San Lucas,MX,2020-12-23 03:09:21,22.89,-109.91,68.0,77,20,3.36
291,Boyolangu,ID,2020-12-23 03:09:21,-8.12,111.89,83.75,66,25,9.01
292,Okahandja,NA,2020-12-23 03:09:22,-21.98,16.92,68.0,56,89,4.7
293,Opuwo,NA,2020-12-23 03:09:22,-18.06,13.84,68.27,39,93,4.27
294,Katsuura,JP,2020-12-23 03:09:22,35.13,140.3,54.0,57,0,3.36
295,Harper,LR,2020-12-23 03:09:22,4.38,-7.72,78.1,86,69,10.56
296,Qasigiannguit,GL,2020-12-23 03:09:22,68.82,-51.19,23.0,79,43,6.93
297,Southbridge,US,2020-12-23 03:07:44,42.08,-72.03,39.2,51,40,21.92
298,Tricase,IT,2020-12-23 03:09:23,39.93,18.36,42.8,100,75,2.24
299,Bardiyah,LY,2020-12-23 03:09:23,31.76,25.09,59.32,74,57,9.01
300,Eenhana,NA,2020-12-23 03:09:23,-17.47,16.33,77.0,38,90,8.05
301,Paita,PE,2020-12-23 03:09:24,-5.09,-81.11,68.83,79,99,11.3
302,Luis Correia,BR,2020-12-23 03:09:24,-2.88,-41.67,79.45,77,11,10.87
303,Gouyave,GD,2020-12-23 03:09:24,12.16,-61.73,78.8,83,20,6.93
